3392,3284,3284,3284
3392,3284,3284,3284
2518,2872,2872,2872
2473,2800,2800,2800
2473,2800,2800,2800
2473,2800,2800,2800
-4556,-4345,-4345,-4345
-4810,-4606,-4606,-4606
-4810,-4606,-4606,-4606
-4810,-4606,-4606,-4606
242,-51,-51,-51
-183,-567,-567,-567
-183,-567,-567,-567
-183,-567,-567,-567
3113,3258,3258,3258
3573,3735,3735,3735
3573,3735,3735,3735
3573,3735,3735,3735
175,-50,-50,-50
19,-269,-269,-269
19,-269,-269,-269
19,-269,-269,-269
8,150,150,150
135,333,333,333
135,333,333,333
135,333,333,333
-953,-607,-607,-607
-1741,-1438,-1438,-1438
-1741,-1438,-1438,-1438
-1741,-1438,-1438,-1438
-3192,-3506,-3506,-3506
-3533,-3950,-3950,-3950
-3533,-3950,-3950,-3950
-3533,-3950,-3950,-3950
961,364,364,364
